,label,tweet_text
41,sympathy_and_emotional_support,"I really like graphs, and this one is pretty good - The Napa earthquake woke this many Jawbone Up wearers "
42,other_useful_information," cjwerleman Somewhere, a Republican strategist is trying to prevent his client from linking Californias earthquake to gay sex"
43,other_useful_information, mandari6 England GBR Newcastle upon Tyne 
44,infrastructure_and_utilities_damage,Napa earthquake map Red-tagged buildings Esri map shows the damages caused by the 6.0 Napa earthquake. 
45,not_related_or_irrelevant," EditInfluence Top story M6.0  - 6km NW of American Canyon, California 2014-08-24 102044 UTC "
46,injured_or_dead_people,"BREAKING New Injury Numbers 172 injured, 7 fractures, 1 critical napaquake "
47,other_useful_information, ipad iphone California begins quake clear-up 
48,injured_or_dead_people," josephjett UPDATE 10-California wine country shaken by 6.0 quake, dozens hurt  via josephjett bonds "
49,other_useful_information," licknord California is so chill, they just has a huge earthquake and theyre like "
50,other_useful_information,Ã¢â â IsraelDice ÃÂ°_ÃÂ° Ã¯Â¿Â¼ Losses From California Quake Could Top $1 Billion The magnitude-6.0 earth... 
51,other_useful_information,"Earthquake rocks northern California An earthquake with a magnitude of 6.0 shakes northern California, with a... "
52,injured_or_dead_people, latimes Napa boy crushed by brick chimney in 6.0 quake I should be dead 
53,injured_or_dead_people, stormchaser4850 UPDATE 170+ people treated for injuries in aftermath of strong California earthquake 
54,other_useful_information," AboveMilton California is so chill, we just had a huge earthquake and were like "
55,infrastructure_and_utilities_damage,The former inspector at Californias Diablo Canyon nuclear reactor worries it is susceptible to earthquake damage. 
56,not_related_or_irrelevant, bgittleson This photo is very California. napa earthquake 
57,infrastructure_and_utilities_damage,Skaters Make Best of Napa Earthquake by Shredding Buckled Streets 
58,other_useful_information, ginalimp USA ÃÂ» NEWS ÃÂ» 
59,sympathy_and_emotional_support,Prayers to all affected by napaearthquake  this morning 
60,other_useful_information, _com California plans to build $80 million earthquake early-warning system 
61,other_useful_information,"News Update!! Napa, CA Clean up continues after the Napa, California Earthquake. NapaQuake "
62,other_useful_information, heyyouapp Ã¢â¬Â¢ 
63,other_useful_information,USAHeadlines Northern California Quake No Way to Know When Next One Will Hit 
64,infrastructure_and_utilities_damage," LANow Quake aftershocks damage Napa bridge, force lane closure "
65,other_useful_information, mattdpearce Drone footage of the earthquake damage in Napa 
66,other_useful_information,California starts quake clean-up 
67,infrastructure_and_utilities_damage,"Fortunately, Gallery 1870 in Yountville, Ca only incurred minor damage during Sundays Napa Valley earthquake,... "
68,other_useful_information,This Is What Northern California Looks Like After Earthquake - ABC News 
69,infrastructure_and_utilities_damage,Napa rushes to fix quake damage as drought means early harvest  
70,injured_or_dead_people," aandreavitch Quake rocks California wine country, dozens injured  via josephjett news "
71,injured_or_dead_people," SFGate Fires, injuries, and more the latest news and updates on this mornings napaquake "
72,other_useful_information, KPCC 20 things to do to prepare before the next earthquake hits Southern California 
73,infrastructure_and_utilities_damage,Ã¢â¬Åfoodbeast California Earthquake Destroys Half the Wine in Napa Vineyard 
74,not_related_or_irrelevant, alawine I see napaquake trending on twitter. With your help Id rather see these naparocks pressonapa napastrong drinknapa visiÃ¢â¬Â¦
75,other_useful_information, nbcbayarea Napa animal shelter officials have been able to reunite 11 dogs with their owners since Sundays earthquake 
76,injured_or_dead_people, DjKingAssassin Ã¢ÅÂª djkingassassin 6.0 earthquake shakes Northern California Cop who killed Michael Brown starte... 
77,donation_needs_or_offers_or_volunteering_services,"Full statement by Napa Valley Vintners on new earthquake relief find, with link for making donations "
78,other_useful_information,California quake could put a cork in US wine industry napaquake 
79,not_related_or_irrelevant, bgittleson This photo is very California. napa earthquake 
80,other_useful_information,"Scores of aftershocks from Napa earthquake felt, more on the way - Los Angeles Times NBCNews.comScores of aft... "
81,other_useful_information,What Caused Californias Napa Earthquake? 
82,other_useful_information, tomsteinfort A very Californian way of dealing with the 6.0 earthquake in Napa overnight (via vickydnguyen) 
83,other_useful_information,"Top storys M6.0  - 6km NW of American Canyon, California 2014-08-24 102044 UÃ¢â¬Â¦ "
84,donation_needs_or_offers_or_volunteering_services, NapaCoRedCross The RedCross shelters in Napa and Vallejo remain open to assist those affected by the earthquake. NapaQuake
85,other_useful_information, ProfPaulKrugman Here is what a magnitude-6 earthquake does in China and CaliforniaÃ¢â¬Â¦ 
86,injured_or_dead_people,Quake in Californias wine country injures dozens 
87,caution_and_advice,Excellent MSNBC story by Maddow on the Earthquake Early Warning System in development in California 
88,infrastructure_and_utilities_damage, hunterschwarz What a California thing to do. Skater takes advantage of Napa earthquake-damaged street. (via vickydnguyen) 
89,other_useful_information,IndyCar community shaken by California earthquake Indianapolis Star PQP q susto o terremotoÃ¢â¬Â¦ 
90,other_useful_information, mg Significant amounts of drone footage on local TV station about the Napa earthquake aftermath. 
91,other_useful_information, dutchsinse 8/24/2014 -- Large 7.0M earthquake strikes Peru -- 6.0M hits California 
92,other_useful_information," nbcbayarea ""Only in California."" Skateboarders shred buckled streets in Napa. "
93,infrastructure_and_utilities_damage, MinnaKiistala 6.0 earthquake in California looks terrible! &amp; it reminds me what a real estate investor friend told me earthquake= timÃ¢â¬Â¦
94,other_useful_information,"USAHeadlines Napa earthquake could cost insurers $2.1B, but cat bonds likely safe "
95,infrastructure_and_utilities_damage,
96,other_useful_information,News Update Northern California Experiences Most Powerful Earthquake in 25 Years 
97,infrastructure_and_utilities_damage, NVR_Photo Damage from NapaQuake car under rubble at Third and Brown streets 
98,other_useful_information, bigmac Heres a recent example of health &amp; digital at work How the Napa earthquake affected Bay area sleepers! 
99,other_useful_information,MUST SEE Drone Video Offers Aerial View of Napa Quake Damage 
100,infrastructure_and_utilities_damage,"South Napa Earthquake causes damage, injuries - KGO-TV "
101,infrastructure_and_utilities_damage,California quake damages historic buildings The strongest quake to hit the Bay Area in 25 years injured dozen... 
102,other_useful_information, DRUDGE_REPO Residents Report Mysterious Flashes In The Sky During Napa Earthquake... 
103,not_related_or_irrelevant, bgittleson This photo is very California. napa earthquake 
104,injured_or_dead_people, heyyouapp USA ÃÂ» NEWS ÃÂ» 
105,other_useful_information,"Skaters Make Best of Napa Earthquake by Shredding Buckled Streets To quote Jurassic Parks esteemed, fictiona... "
106,infrastructure_and_utilities_damage, WesleyMooreJr Skateboarding atop an earthquake-damaged street is the most California thing to ever happen. 
107,other_useful_information, TechCrunch Jawbone fitness trackers show data about how many people were woken up by the South Napa earthquake 
108,other_useful_information, hamletgarcia17 Average earthquake insurance cost california $860 a  month via CNN 
109,sympathy_and_emotional_support,"""ELCA offers prayers for those affected by California earthquake"" via ELCANews "
110,donation_needs_or_offers_or_volunteering_services, vjotimesherald BOE announces emergency tax relief for business owners affected by South Napa Earthquake 
111,infrastructure_and_utilities_damage,Napa earthquake Power restored to thousands; cleanup continues - Los Angeles Times
112,other_useful_information,Magnitude 6.0 Earthquake Strikes Californias Bay Area 
113,injured_or_dead_people,"Napa earthquake Hundreds hurt, dozens of buildings condemned after 6.0 jolt - Bennington Banner "
114,injured_or_dead_people," _com 120 injured, power outages as California hit by largest quake in 25 years "
115,not_related_or_irrelevant,Earthquake Blacks Out California 
116,other_useful_information,Northern California earthquake is the strongest in 25 years 
117,sympathy_and_emotional_support, Hunter_2_Fast Sending my thoughts out to Napa County firefighters Ive met from Cal Fire LNU out working the quake today praying for yÃ¢â¬Â¦
118,not_related_or_irrelevant, MeredithFrost California in one picture. MT vickydnguyen Napa skaters finding upside to quake damage. Photo from Jeremy Carroll 
119,other_useful_information,"USGS reports a M1.27 earthquake 21km N of Yucca Valley, California on 8/25/14  203128 UTC "
120,other_useful_information,California quake warning system not in Washington Washington 
121,other_useful_information,Residents struggle with quake aftermath CNNs Gary Tuchman reports from a Northern California community that was ... 
122,other_useful_information, nlawhead Jawbone Up data shows how many people woke up during Sundays Napa earthquake 
123,other_useful_information,USGS Tuesday Midday Update on South Napa Earthquake 
124,donation_needs_or_offers_or_volunteering_services," AdamSchefter Willie Brown will present $50,000 check Weds from Raiders to Napa Valley Schools to assist in efforts to recover from SunÃ¢â¬Â¦"
125,other_useful_information,USAHeadlines Northern California Quake No Way to Know When Next One Will Hit 
126,caution_and_advice,Napa earthquake lessons How to prepare your business for disaster 
127,other_useful_information,USAHeadlines Northern California Quake No Way to Know When Next One Will Hit 
128,other_useful_information,napaquake Napa any digital marketers/providers affected by the Napa earthquake? cxm digitalmarketing
129,injured_or_dead_people," SABCNewsOnline California wine country shaken by 6.0 quake, dozens hurt "
130,other_useful_information, jfew The most California thing imaginable. skateordie skateANDdie earthquake 
131,other_useful_information, MeredithFrost California in one picture. MT vickydnguyen Napa skaters finding upside to quake damage. Photo from Jeremy Carroll 
132,sympathy_and_emotional_support, TheEllenShow Hoping that everyone involved in the Napa earthquake is okay. Thank you to all the incredible rescue workers.
133,infrastructure_and_utilities_damage, hamburgergravy Very distressing Napa Quake May Cost Over $1 Billion in Damages to Vineyards and Restaurants 
134,infrastructure_and_utilities_damage," scullather ""infodude amazing use of BigData from Jawbone - How the Napa Earthquake Affected Bay Area Sleepers "
135,not_related_or_irrelevant, mamamellet troyesivan tyleroakley whats going on California? Did you feel the quake at all?
136,infrastructure_and_utilities_damage,"Latest on Napa earthquake - Four homes destroyed, others damaged by fire; over 100 patients treated at hospital, "
137,other_useful_information, politico Strong earthquake jars Northern California 
138,other_useful_information,WAPen Skaters Make Best of Napa Earthquake by Shredding Buckled Streets 
139,caution_and_advice,"Scores of aftershocks from Napa earthquake felt, more on the way - Los Angeles Times NBCNews.comScores of aft... "
140,other_useful_information,California hit by biggest earthquake in 25 years 
141,other_useful_information,lmswageer Renewed Calls for Early-Warning System After Quake California quake leads to renewed call... 
142,injured_or_dead_people, News24lHOT Ã¢â â USA 
143,other_useful_information,Check this out! California Earthquake Is the Big One Close? 
144,other_useful_information, globalnews California winemakers cleaning up after quake 
145,infrastructure_and_utilities_damage, AP Nuclear expert calls for California plant to be shut to see if it can withstand shaking from earthquake faults 
146,other_useful_information,Surveillance Video Shows Dog Bolting From South Napa Quake 
147,injured_or_dead_people, vickydnguyen Meadowbrook Lane in Napa-- skaters finding upside to quake damage. Photo from nbcbayarea photog Jeremy Carroll 
148,other_useful_information, washingtonpost Photos Powerful earthquake shakes Northern California 
149,injured_or_dead_people,"No reports of injuries to missionaries, members following Napa quake ChurchNews Mormon lds "
150,other_useful_information,"Okay, so the earthquake in california that i was in is waaaay less scary than the fucking Ferguson pigs. Nobody died."
151,caution_and_advice,3tking Napa Earthquake Hastens Calls for Warning System 
152,other_useful_information, LiveScience Strongest Earthquake in 25 Years Hits Northern California 
153,infrastructure_and_utilities_damage,Earthquake in Napa Valley hits wineries The wineries in Napa Valley have been damaged following the 6.1-magni... 
154,other_useful_information, ShannonBrinias Crazy busy day/night at CBS13 &amp; our crews out in the field. Thoughts r w NapaQuake victims-this is a serious blow to Ã¢â¬Â¦
155,not_related_or_irrelevant,"taylorswift13 edsheeran your song ""SHAKE IT OFF"" rocks so much it caused a 6.1 earthquake here in Nor.California Shaken off aftershocks"
156,other_useful_information,Top story How did the Napa earthquake affect sleep? 
157,donation_needs_or_offers_or_volunteering_services, ChimneyRockWine Do you want to help wineries who need help?  Heres one way you can  Napa Earthquake Volunteers 
158,other_useful_information,6.0-magnitude earthquake hits Northern California via ABC7 
159,sympathy_and_emotional_support,Mexico expresses solidarity to California after quake 
160,other_useful_information, Jawbone Heres how the Napa earthquake affected Bay Area sleepers. 
161,other_useful_information,Why The Earthquake Near San Francisco Is Just The Start Of The Shaking In California 
162,other_useful_information,6.0 earthquake shakes Northern California | Mail ... 
163,infrastructure_and_utilities_damage," AP California earthquake hits wine region hard, destroying thousands of bottles and barrels of wine "
164,other_useful_information,Northern California rocked by magnitude 6.0 earthquake | 
165,other_useful_information,"USGS reports a M0.78 earthquake 18km ESE of Anza, California on 8/28/14  174520 UTC "
166,not_related_or_irrelevant, bgittleson This photo is very California. napa earthquake 
167,other_useful_information, TheNewDaily_ Get all the details on the strong 6.0-magnitude earthquake that hit California overnight 
168,infrastructure_and_utilities_damage,90 percent of the nations wine comes from California and the Napa earthquake could make prices go up. GoodMorning7 on WKBW.
169,sympathy_and_emotional_support, THEguywilson Sending thoughts and prayers to all those affected by the earthquake. Napa NapaEarthquake
170,not_related_or_irrelevant,Why The Earthquake Near San Francisco Is Just The Start Of The Shaking In California  
171,other_useful_information, WSJ Images from Northern California where a powerful earthquake struck Sunday morning. 
172,not_related_or_irrelevant, bgittleson This photo is very California. napa earthquake 
173,infrastructure_and_utilities_damage, nicoleewayne ÃÂ¦ 
174,not_related_or_irrelevant,California begins quake clear-up 
175,not_related_or_irrelevant,"Rest easy, oenophiles Napa Valley quake wonÃ¢â¬â¢t spike price of California wine "
176,not_related_or_irrelevant,"Skaters Make Best of Napa Earthquake by Shredding Buckled Streets To quote Jurassic Parks esteemed, fictiona... "
177,donation_needs_or_offers_or_volunteering_services," Hawk_Wakawaka A look at Napa after the earthquake, how to help.   "
178,injured_or_dead_people," josephjett UPDATE 8-Quake rocks California wine country, dozens injured  via josephjett bonds "
179,other_useful_information,
180,infrastructure_and_utilities_damage, KTVU Damages in City of Vallejo are estimated at $5 million 
181,other_useful_information, debkhk Why California doesnt have an early earthquake warning system and Japan and Chile do. 
182,injured_or_dead_people, WeatherWatchNZ USA - 6.0 earthquake rocks California; dozens injured (+VIDEO &amp; PICS) 
183,other_useful_information, CityofNapa The 10am City of Napa earthquake recovery status report is now posted at 
184,other_useful_information," earthquakesSF A 1.5 magnitude earthquake occurred 3.73mi SW of Napa, California. Details "
185,other_useful_information,Earthquake rocks northern California 
186,injured_or_dead_people, barbjonn - Strong Earthquake Rocks San Francisco Bay Area; At Least 170 Injured  |  San Francisco Earthquake  |  SanFranciscoEarthquaÃ¢â¬Â¦
187,other_useful_information,California earthquake It was total mayhem Ã¢â¬â The Globe andÃÂ Mail 
188,other_useful_information,California quake Was this the one before the Big One? - CNN CNNCalifornia quake Was this the one before the Big One?CNN(CNN) -...
189,other_useful_information,ÃÂ¤ USA 203 Earthquake California Hit With Earthquake Of 6.0 Magnitude news24lhot Michigan USA Livonia Earthquake USA 
190,other_useful_information,[Olle_Jeffry 
191,other_useful_information,South Napa Quake victims turn to social media to document damage - KGO-TV 
192,other_useful_information,Why The Earthquake Near San Francisco Is Just The Start Of The Shaking In California 
193,infrastructure_and_utilities_damage, News24lHOT Ã¢â â USA 
194,other_useful_information,The latest on damaging earthquake in California 
195,not_related_or_irrelevant, vickydnguyen Meadowbrook Lane in Napa-- skaters finding upside to quake damage. Photo from nbcbayarea photog Jeremy Carroll 
196,injured_or_dead_people,(Ã¢â¢Â¥EudryLantiquaÃ¢â¢Â¥) Boy Hurt in California Quake I Should Be Dead Boy badly hurt by br... 
197,infrastructure_and_utilities_damage, JacquesLoveall Napa schools to reopen as the town continues to tally the damage from Sundays Earthquake    
198,injured_or_dead_people," cnnbrk California hospital receives 120 patients related to the 6.0 magnitude earthquake, hospital president says. "
199,injured_or_dead_people, ginalimp USA ÃÂ» NEWS ÃÂ» 
200,other_useful_information, CBSNews Experimental warning system gave 10-second alert before California earthquake 
201,other_useful_information," SFGate 1) Napa, Northern California dig out from historic earthquake "
202,other_useful_information,USAHeadlines Northern California Quake No Way to Know When Next One Will Hit 
203,infrastructure_and_utilities_damage,Raw Aerial Look at Napa Quake Damage NewsVideos 
204,other_useful_information, nicoleewayne Ã¢â¬Â¢ 
205,not_related_or_irrelevant,Lemons from lemonadeÃ¢â¬Â¦ MT vickydnguyen Napa skaters finding upside to quake damage. Photo from Jeremy Carroll 
206,injured_or_dead_people," jaketapper At least 172 people injured in the 6.1 Napa Quake, according to Walt Mickens, President &amp; CEO of Queen of the Valley MedicaÃ¢â¬Â¦"
207,not_related_or_irrelevant, Johnny_Platanos Ã¢â¬Åbgittleson This photo is very California. napa earthquake 
208,other_useful_information,N. California Earthquake Damage Could Reach $1B 
209,other_useful_information, abuttars MikeNiccoABC7 felt it in San Bruno... the 3.9 woke me up from a dead sleep. earthquake napaquake
210,injured_or_dead_people, heyyouapp USA ÃÂ» NEWS ÃÂ» 
211,other_useful_information," mercenarygeo Strong earthquake in the Napa region. M6.0 - 6km NW of American Canyon, California "
212,other_useful_information, heyyouapp Ã¢â¬Â¢ 
213,infrastructure_and_utilities_damage, fyeahCalifornia Only in California does earthquake damage = skatepark. (photo by Jeremy Carroll) 
214,infrastructure_and_utilities_damage, 1WineDude  WesleyMooreJr Skateboarding atop an earthquake-damaged street is the most California thing to ever happen. 
215,infrastructure_and_utilities_damage, RMS RMS experts extensive damage to unreinforced masonry buildings &amp; faÃÂ§ades occurred caused by the Napa Earthquake 
216,infrastructure_and_utilities_damage, BuzzFeedNews Photo shared by vickydnguyen shows damaged roads being used by skateboarders after California earthquake 
217,injured_or_dead_people, HuffPostBC Six people critically injured in California earthquake 
218,other_useful_information,California earthquake California Earthquake  
219,infrastructure_and_utilities_damage, tyleronemo ÃÂ¦ 
220,not_related_or_irrelevant," weknowwhatsbest Immediately after vacation, the First Couple will spend a few nights in Wine Country California to inspect any possiblÃ¢â¬Â¦"
221,caution_and_advice, Cal_OES Napa Earthquake Victims Urged to Only Hire Licensed Contractors for Repairs | Cal OES Newsroom. 
222,other_useful_information,Northern California earthquake is the strongest in 25 years - CNN CNNNorthern California earthquake is the strongest in 25 yearsCNN(...
223,infrastructure_and_utilities_damage,The latest on damaging earthquake in California 
224,infrastructure_and_utilities_damage,Napa Valley 2014 earthquake Ã¢â¬â Damage to vineyards wine earthquake 
225,other_useful_information, USATODAY BREAKING Aftershock rattles area of California hit by earthquake 
226,donation_needs_or_offers_or_volunteering_services,GIVE WHERE YOU LIVE How to help Bay Area earthquake victims via abc7newsbayarea 
227,other_useful_information, nicoleewayne California USA Garden Grove ÃÂ» 
228,other_useful_information,"Day after Napa earthquake, region takes stock, cleans up - SFGate "
229,other_useful_information, HenryZeniewicz Nuke expert wants California plant closed over earthquake worries 
230,other_useful_information,"""Magnitude 6.0 earthquake hits northern California centered just nort...""  "
231,other_useful_information,Californias early warning system beat Napa earthquake by 10 seconds 
232,donation_needs_or_offers_or_volunteering_services, TheAcademicWino Affected by the napaearthquake and need help? Want to volunteer to help?  please use this forum to connect plz  htÃ¢â¬Â¦
233,other_useful_information, FrankTheDoorman Strongest earthquake since 1989 jolts Northern California. Republicans have opened an investigation into Obamas involÃ¢â¬Â¦
234,injured_or_dead_people," ReutersUS 6.0 magnitude earthquake rocks California wine country, dozens hurt "
235,caution_and_advice,New alert system improves earthquake warning in California 
236,injured_or_dead_people," MelodyGutierrez UC Davis Medical Center confirms they are treating a 13 year old boy injured napaquake. He is in ""serious condition."""
237,other_useful_information,".abc7newsBayArea is in the midst of a self-aggrandizing piece about their own coverage of the Napa earthquake. Less of this, please."
238,other_useful_information, bgittleson This photo is very California. napa earthquake 
239,other_useful_information," earthquakesSF A 3.9 magnitude earthquake occurred 1.86mi WNW of American Canyon, California. Details "
240,infrastructure_and_utilities_damage,California quake damages historic buildings 
241,other_useful_information, nicoleewayne Ã¢â¢Â¦ 
242,other_useful_information,Jawbone UP Data Shows How Many Woke Up During the Napa Earthquake 
243,caution_and_advice,"After the Napa earthquake, should California consider a warning system? "
244,other_useful_information,State of emergency in Napa 
245,other_useful_information,California Quake Means Big Damage For Napa Valley Wineries 
246,infrastructure_and_utilities_damage," ABC South Napa earthquake damage estimate could reach $1,000,000,000 "
247,other_useful_information," earthquakesLA A 3.3 magnitude earthquake occurred 5.59mi SSW of San Pedro, California. Details "
248,other_useful_information, genetics_blog How did the Napa earthquake affect sleep? 
249,other_useful_information,Strong California quake shakes famed wine country 
250,not_related_or_irrelevant, bgittleson This photo is very California. napa earthquake 
251,injured_or_dead_people, News24lHOT Ã¢â â USA 
252,not_related_or_irrelevant, JustinChungArt Bad Yesterdays California quake messed up my shelves. Good Had reason to redo my action figure display. sanfranciÃ¢â¬Â¦
253,not_related_or_irrelevant,Damaged chimney being taken down before it falls. napaquake kron4news 
254,not_related_or_irrelevant,"Right now in California - System, funding, quake, earthquake, country - more at "
255,caution_and_advice, News24lHOT ÃÂ¦ 
256,injured_or_dead_people,"120 injured, 3 critical after Napa, California quake The quake is the strongest to hit the region ... "
257,other_useful_information,A ships maiden voyage had to be christened by a box of Franzia Chardonnay yesterday thanks to the quake in Napa Valley. whitepeopleproblems
258,infrastructure_and_utilities_damage,Napa earthquake Power restored to thousands; cleanup continues - Los Angeles Times
259,infrastructure_and_utilities_damage, _com California earthquake losses could reach $1bn 
260,other_useful_information, TheWire Why dont California homeowners have earthquake insurance? 
261,injured_or_dead_people, heyyouapp USA ÃÂ» NEWS ÃÂ» 
262,not_related_or_irrelevant,Technology reveals who slept through Northern California quake - SFGate (blog) 
263,other_useful_information," SFnewsnow Napa earthquake Four aftershocks early Tuesday, strongest at 3.9 "
264,not_related_or_irrelevant,MUST SEE Drone Video Offers Aerial View of Napa Quake Damage 
265,infrastructure_and_utilities_damage, KHOU 6.0 magnitude earthquake caused extensive damage in historic downtown Napa 
266,caution_and_advice,"Northern California had an earthquake, now Southern California had a bigger one. COLBE ?  Emmys"
267,other_useful_information, SocialInLA Napa earthquake Drone video offers birds-eye view of damage A new video from a privately owned drone shows ... 
268,other_useful_information,Earthquake rattles Northern California 
269,other_useful_information,Haha my aunt who lives in Napa slept right through the earthquake. Her son said he thought the house was going to collapse.
270,other_useful_information,"""Forbes China Rich Listers Winery In Napa Valley Avoids Earthquake Damage"" "
271,other_useful_information, guardian Napa earthquake hastens California calls for early warning system 
272,caution_and_advice,"R2Pindex --&gt; Quake M 1.5 - 3km SE of Calistoga, California Time2014-08-28 182540 UTC2014-08-28 ... "
273,infrastructure_and_utilities_damage, WineInkByTia Mans drone footage shows Napa quake damage 
274,other_useful_information,Top story Northern California Shaken by 6.0 Magnitude Earthquake - ABC News 
275,sympathy_and_emotional_support,RLSms library and all four campuses basically zero damage.  Our thoughts are with everyone affected by napaquake 
276,infrastructure_and_utilities_damage,(Ã¢â¢Â¥EudryLantiquaÃ¢â¢Â¥) N. California Earthquake Damage Could Reach $1B Northern California i... 
277,other_useful_information,Jawbone reveals how many Up users were woken up by the Napa earthquake 
278,infrastructure_and_utilities_damage,"Damage From California Quake Could Top $1 Billion, via nytimes "
279,caution_and_advice," LatestQuakes Earthquake M 2.9 - 8km SW of Napa, California DYFI? - IIITime2014-08-26 000234 UTC2014-08-25 170234 -07... "
280,other_useful_information,The aftermath from No Californias worst earthquake in 25 years. Ill report from Napa WTAE at 630
281,other_useful_information, ginalimp ÃÂ¤ USA 
282,other_useful_information,USAHeadlines Cleanup Efforts Underway after Major Earthquake in California 
283,infrastructure_and_utilities_damage,Earthquake is Major Test for Hard-Luck California City The historic blue-collar town of Vallejo is a short di... 
284,other_useful_information,"""California quake Was this the one before the Big One?""  - CNN   CNN is a newshole. I just made that word up, but it is appropriate."
285,other_useful_information,Real time coverage of Napa California earthquake at 
286,infrastructure_and_utilities_damage,"Napa private property damage totals $300M, 100+ buildings red-tagged "
287,infrastructure_and_utilities_damage, GavinNewsom More businesses &amp; buildings damaged by the NapaQuake 
288,other_useful_information, AdeAdesanya Northern California earthquake the strongest in 25 years 
289,other_useful_information,Napa earthquake hastens calls for warning system Ã¢â¬âÃÂ Businessweek 
290,other_useful_information,Northern California earthquake is the strongest in 25 years - CNN CNNNorthern California earthquake is the st... 
291,other_useful_information, aldotcom ICYMI California shock waves felt in North Alabama 6 minutes after earthquake 
292,caution_and_advice, ABC7 JUST IN Gov. Brown declares state of emergency in California due to South Napa earthquake 
293,other_useful_information, WSJ Images from Northern California where a powerful earthquake struck Sunday morning. 
294,other_useful_information,BREAKING NEWS 7.0 EAHQUAKE HITS NOHERN CALIFORNIA - BREAKING NEWS 7.0 EAHQUAKE HITS... 
295,other_useful_information, NBCNews Data from fitness trackers reveal extent of the disruption from the Napa earthquake 
296,sympathy_and_emotional_support,napaquake prayers to all in Napa tonight
297,infrastructure_and_utilities_damage,Napa earthquake hits home. The showroom was untouched but Daves house in the hills above Napa didnt do so well.... 
